web-scraper-order,web-scraper-start-url,company,company-href,model,model-href
"1555570167-852","https://www.gsmarena.com/","Lenovo","https://www.gsmarena.com/lenovo-phones-73.php","S5 Pro","https://www.gsmarena.com/lenovo_s5_pro-9375.php"
"1555570203-1172","https://www.gsmarena.com/","Apple","https://www.gsmarena.com/apple-phones-48.php","Watch Series 1 Aluminum 38mm","https://www.gsmarena.com/apple_watch_series_1_aluminum_38mm-8333.php"
"1555570172-948","https://www.gsmarena.com/","HTC","https://www.gsmarena.com/htc-phones-45.php","U Play","https://www.gsmarena.com/htc_u_play-8518.php"
"1555570147-662","https://www.gsmarena.com/","Meizu","https://www.gsmarena.com/meizu-phones-74.php","M5 Note","https://www.gsmarena.com/meizu_m5_note-8450.php"
"1555570125-329","https://www.gsmarena.com/","Lava","https://www.gsmarena.com/lava-phones-94.php","Z40","https://www.gsmarena.com/lava_z40-9622.php"
"1555570145-622","https://www.gsmarena.com/","BlackBerry","https://www.gsmarena.com/blackberry-phones-36.php","Curve 9380","https://www.gsmarena.com/blackberry_curve_9380-4331.php"
"1555570165-832","https://www.gsmarena.com/","Xiaomi","https://www.gsmarena.com/xiaomi-phones-80.php","Redmi S2 (Redmi Y2)","https://www.gsmarena.com/xiaomi_redmi_s2_(redmi_y2)-9185.php"
"1555570101-25","https://www.gsmarena.com/","Plum","https://www.gsmarena.com/plum-phones-72.php","Optimax 8.0","https://www.gsmarena.com/plum_optimax_8_0-8088.php"
"1555570134-469","https://www.gsmarena.com/","Microsoft","https://www.gsmarena.com/microsoft-phones-64.php","Surface","https://www.gsmarena.com/microsoft_surface-5082.php"
"1555570125-359","https://www.gsmarena.com/","Lava","https://www.gsmarena.com/lava-phones-94.php","A32","https://www.gsmarena.com/lava_a32-8211.php"
"1555570147-663","https://www.gsmarena.com/","Meizu","https://www.gsmarena.com/meizu-phones-74.php","M3x","https://www.gsmarena.com/meizu_m3x-8452.php"
"1555570167-846","https://www.gsmarena.com/","Lenovo","https://www.gsmarena.com/lenovo-phones-73.php","K6 Enjoy","https://www.gsmarena.com/lenovo_k6_enjoy-9655.php"
"1555570205-1223","https://www.gsmarena.com/","Samsung","https://www.gsmarena.com/samsung-phones-9.php","Galaxy J7 (2018)","https://www.gsmarena.com/samsung_galaxy_j7_(2018)-9234.php"
"1555570137-507","https://www.gsmarena.com/","ZTE","https://www.gsmarena.com/zte-phones-62.php","nubia M2","https://www.gsmarena.com/zte_nubia_m2-8746.php"
"1555570153-723","https://www.gsmarena.com/","OnePlus","https://www.gsmarena.com/oneplus-phones-95.php","X","https://www.gsmarena.com/oneplus_x-7630.php"
"1555570121-250","https://www.gsmarena.com/","BLU","https://www.gsmarena.com/blu-phones-67.php","Studio X8 HD (2019)","https://www.gsmarena.com/blu_studio_x8_hd_(2019)-9565.php"
"1555570160-797","https://www.gsmarena.com/","Honor","https://www.gsmarena.com/honor-phones-121.php","9","https://www.gsmarena.com/honor_9-8704.php"
